Death ID,City,Incident_Type,Fatalities,Injuries,Category,Cause_of_dead
2024-GAZ-00149802,Gaza city,Rocket Attack,16642,982,Lack of medical Access,Asphyxiation
2024-GAZ-001416904,Gaza city,Building Collapse,27631,1694,Lack of medical Access,Asphyxiation
2024-GAZ-001412372,Gaza city,Artillery Shelling,20894,12372,Lack of medical Access,Asphyxiation
2024-GAZ-001413,Gaza city,Drone Strike,761,13,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001412,Gaza city,Artillery Shelling,832,12,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00146,Gaza city,Rocket Attack,528,6,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00143,Gaza city,Airstrike,625,3,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00144,Gaza city,Airstrike,755,4,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00148,Gaza city,Building Collapse,983,8,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001437,Gaza city,Airstrike,175,37,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,North Gaza,Airstrike,1,,Lack of medical Access,Burns
2024-GAZ-0014,Rafah,Airstrike,3,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Rafah,Airstrike,24,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Rafah,Rocket Attack,1,,Direct Conflict,Crush Injuries
2024-GAZ-00147,Gaza city,Airstrike,143,7,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00142,Gaza city,Airstrike,20,2,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141,Gaza city,Airstrike,1,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00145,Gaza city,Drone Strike,434,5,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Gaza city,Missile Strike,442,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00149,Gaza city,Artillery Shelling,582,9,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001417,Gaza city,Rocket Attack,1557,17,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141,Gaza city,Airstrike,214,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141,Gaza city,Airstrike,1072,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141,Gaza city,Building Collapse,333,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141,Gaza city,Building Collapse,588,1,Direct Conflict,Crush Injuries
2024-GAZ-00145,Gaza city,Rocket Attack,62,5,Direct Conflict,Crush Injuries
2024-GAZ-00140,Gaza city,Missile Strike,3,,Direct Conflict,Crush Injuries
2024-GAZ-00148,Gaza city,Building Collapse,11,8,Direct Conflict,Crush Injuries
2024-GAZ-001440,Gaza city,Artillery Shelling,57,4,Direct Conflict,Crush Injuries
2024-GAZ-00146,Beit Lahia,Missile Strike,124,6,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014184,Beit Lahia,Artillery Shelling,3355,184,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Beit Lahia,Rocket Attack,29,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00145,Beit Lahia,Airstrike,363,5,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014783,Beit Lahia,Airstrike,22433,783,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014657,Beit Lahia,Building Collapse,10759,657,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Beit Lahia,Drone Strike,1,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Lahia,Missile Strike,3,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Lahia,Artillery Shelling,2,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Lahia,Rocket Attack,1,,Lack of medical Access,Sepsis
2024-GAZ-0014,Beit Lahia,Airstrike,9,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Lahia,Building Collapse,2,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Hanoun,Airstrike,21,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001415,Beit Hanoun,Airstrike,117,15,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014458,Beit Hanoun,Airstrike,17267,458,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014175,Beit Hanoun,Building Collapse,6395,175,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Beit Hanoun,Artillery Shelling,1,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Hanoun,Rocket Attack,2,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Hanoun,Airstrike,1,,Lack of medical Access,Sepsis
2024-GAZ-00140,Deir al-Balah,Drone Strike,27,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Deir al-Balah,Missile Strike,13,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Deir al-Balah,Artillery Shelling,24,,Direct Conflict,Crush Injuries
2024-GAZ-00141,Deir al-Balah,Rocket Attack,53,1,Direct Conflict,Crush Injuries
2024-GAZ-00140,Deir al-Balah,Airstrike,77,,Direct Conflict,Crush Injuries
2024-GAZ-0014,Deir al-Balah,Airstrike,26,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Deir al-Balah,Building Collapse,157,,Direct Conflict,Crush Injuries
2024-GAZ-00141,Deir al-Balah,Artillery Shelling,1,1,Direct Conflict,Crush Injuries
2024-GAZ-00142,middle Area,Drone Strike,15,2,Lack of medical Access,Sepsis
2024-GAZ-0014221,middle Area,Rocket Attack,1624,221,Lack of medical Access,Sepsis
2024-GAZ-001437,middle Area,Airstrike,1181,37,Lack of medical Access,Sepsis
2024-GAZ-0014,middle Area,Airstrike,762,,Lack of medical Access,Sepsis
2024-GAZ-00146,Gaza city,Missile Strike,199,6,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001412,Gaza city,Artillery Shelling,235,12,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00142,Gaza city,Rocket Attack,56,2,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001419,Gaza city,Airstrike,424,19,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001424,Gaza city,Airstrike,1261,24,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Gaza city,Building Collapse,32,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001439,Gaza city,Airstrike,868,39,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,,Missile Strike,65,,Lack of medical Access,Sepsis
2024-GAZ-00140,,Artillery Shelling,76,,Lack of medical Access,Sepsis
2024-GAZ-00140,,Rocket Attack,181,,Lack of medical Access,Sepsis
2024-GAZ-00143,,Airstrike,417,3,Lack of medical Access,Sepsis
2024-GAZ-00141,,Airstrike,4,1,Lack of medical Access,Burns
2024-GAZ-0014759,North Gaza ,Drone Strike,28093,759,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014276,North Gaza ,Missile Strike,19182,276,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014372,North Gaza ,Artillery Shelling,22203,372,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014491,North Gaza ,Rocket Attack,26944,491,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014819,North Gaza ,Airstrike,33661,819,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014584,North Gaza ,Airstrike,21700,584,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014182,North Gaza ,Building Collapse,13884,182,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,North Gaza ,Drone Strike,1,,Lack of medical Access,Burns
2024-GAZ-00141,North Gaza ,Airstrike,127,1,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001419,North Gaza ,Building Collapse,2047,19,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00143,North Gaza ,Airstrike,6,3,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001427,Jabalia,Drone Strike,1159,27,Lack of medical Access,Sepsis
2024-GAZ-001415,Jabalia,Missile Strike,546,15,Lack of medical Access,Sepsis
2024-GAZ-001411,Jabalia,Artillery Shelling,603,11,Lack of medical Access,Sepsis
2024-GAZ-001442,Jabalia,Rocket Attack,1954,42,Lack of medical Access,Sepsis
2024-GAZ-001468,Jabalia,Airstrike,7919,68,Lack of medical Access,Sepsis
2024-GAZ-0014336,Jabalia,Airstrike,20851,336,Lack of medical Access,Sepsis
2024-GAZ-00140,Jabalia,Building Collapse,191,,Lack of medical Access,Sepsis
2024-GAZ-001421,Ethiopia,Building Collapse,1682,21,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001472,Ethiopia,Airstrike,850,72,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Gaza city,Missile Strike,1,,Lack of medical Access,Burns
2024-GAZ-00140,Gaza city,Artillery Shelling,1,,Lack of medical Access,Burns
2024-GAZ-00140,Gaza city,Airstrike,1,,Lack of medical Access,Burns
2024-GAZ-001409,Gaza city,Airstrike,1,,Lack of medical Access,Burns
2024-GAZ-0014Unknown,Gaza city,Drone Strike,1,,Lack of medical Access,Burns
2024-GAZ-00140,Gaza city,Artillery Shelling,1,,Lack of medical Access,Burns
2024-GAZ-00140,Gaza city,Airstrike,4,,Lack of medical Access,Burns
2024-GAZ-00141,Gaza city,Building Collapse,4,1,Lack of medical Access,Burns
2024-GAZ-00140,North Gaza,Drone Strike,175,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00148,North Gaza,Missile Strike,692,8,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014243,North Gaza,Artillery Shelling,28944,243,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,North Gaza,Rocket Attack,50,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014100,North Gaza,Airstrike,9548,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014105,North Gaza,Airstrike,10628,15,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00143,North Gaza,Building Collapse,438,3,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014180,North Gaza,Airstrike,2733,18,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Guinea,Artillery Shelling,1,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001432,Guinea,Rocket Attack,319,32,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014133,Guinea,Airstrike,7350,133,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Guinea,Airstrike,3,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001460,Guinea,Airstrike,2000,6,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00142,Guinea-Bissau,Artillery Shelling,11,2,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001428,Guinea-Bissau,Rocket Attack,969,28,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001422,Guinea-Bissau,Airstrike,3068,22,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014447,Haiti,Drone Strike,41421,447,Lack of medical Access,Sepsis
2024-GAZ-0014322,Haiti,Missile Strike,36045,322,Lack of medical Access,Sepsis
2024-GAZ-0014296,Haiti,Artillery Shelling,27753,296,Lack of medical Access,Sepsis
2024-GAZ-0014593,Haiti,Rocket Attack,58809,593,Lack of medical Access,Sepsis
2024-GAZ-0014894,Haiti,Airstrike,112076,894,Lack of medical Access,Sepsis
2024-GAZ-00142869,Haiti,Airstrike,340311,2869,Lack of medical Access,Sepsis
2024-GAZ-00143990,Haiti,Building Collapse,179379,399,Lack of medical Access,Sepsis
2024-GAZ-00143,Gaza city,Drone Strike,841,3,Lack of medical Access,Asphyxiation
2024-GAZ-00144,Gaza city,Missile Strike,889,4,Lack of medical Access,Asphyxiation
2024-GAZ-001421,Gaza city,Artillery Shelling,4031,21,Lack of medical Access,Asphyxiation
2024-GAZ-001454,Gaza city,Rocket Attack,6008,54,Lack of medical Access,Asphyxiation
2024-GAZ-00149,Gaza city,Building Collapse,5155,9,Lack of medical Access,Asphyxiation
2024-GAZ-00143420,Gaza city,Airstrike,15067,342,Lack of medical Access,Asphyxiation
2024-GAZ-00142799,Gaza city,Rocket Attack,13052,2799,Lack of medical Access,Asphyxiation
2024-GAZ-001426946,Gaza city,Missile Strike,47637,26946,Lack of medical Access,Asphyxiation
2024-GAZ-001449818,Gaza city,Missile Strike,66849,49818,Lack of medical Access,Asphyxiation
2024-GAZ-00147662,Gaza city,Rocket Attack,23533,7662,Lack of medical Access,Asphyxiation
2024-GAZ-0014124227,Gaza city,Building Collapse,213225,124227,Lack of medical Access,Asphyxiation
2024-GAZ-001441543,Gaza city,Artillery Shelling,86787,41543,Lack of medical Access,Asphyxiation
2024-GAZ-00141257,North Gaza,Airstrike,5997,1257,Lack of medical Access,Asphyxiation
2024-GAZ-001436,North Gaza,Rocket Attack,204,36,Lack of medical Access,Asphyxiation
2024-GAZ-0014474,North Gaza,Missile Strike,1742,474,Lack of medical Access,Asphyxiation
2024-GAZ-00141,Khan Younis,Missile Strike,86,1,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00147,Khan Younis,Rocket Attack,256,7,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00140,Khan Younis,Airstrike,53,,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-001412,Khan Younis,Airstrike,1187,12,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-0014,Khan Younis,Rocket Attack,162,,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00140 0,Khan Younis,Drone Strike,3 5, ,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00142,Khan Younis,Missile Strike,4965,2,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00140,Khan Younis,Rocket Attack,1,,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00144,Khan Younis,Airstrike,4693,4,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00140,Khan Younis,Building Collapse,2,,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-001420,Khan Younis,Rocket Attack,227,2,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00140,Rafah,Rocket Attack,1,,Direct Conflict,Burns
2024-GAZ-001410,Rafah,Airstrike,185,1,Direct Conflict,Burns
2024-GAZ-00140,Rafah,Rocket Attack,1,,Direct Conflict,Burns
2024-GAZ-00140,Rafah,Drone Strike,10,,Direct Conflict,Crush Injuries
2024-GAZ-0014,Rafah,Missile Strike,7,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Rafah,Artillery Shelling,5,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Rafah,Rocket Attack,8,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Rafah,Airstrike,3,,Direct Conflict,Crush Injuries
2024-GAZ-0014,Rafah,Airstrike,12,,Direct Conflict,Crush Injuries
2024-GAZ-0014,Rafah,Airstrike,5,,Direct Conflict,Crush Injuries
2024-GAZ-00140,Beit Lahia,Airstrike,3,,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001480,Rafah,Drone Strike,5866,8,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001467,Rafah,Missile Strike,13291,67,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00149,Rafah,Artillery Shelling,35,9,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00142,Rafah,Airstrike,74,2,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001463,Rafah,Building Collapse,3188,63,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Beit Hanoun,Missile Strike,5,,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00140,Rafah,Airstrike,4,,Lack of medical Access,Traumatic Brain Injury
2024-GAZ-00144,Deir al-Balah,Building Collapse,237,4,Direct Conflict,Crush Injuries
2024-GAZ-001418,Deir al-Balah,Building Collapse,31,18,Direct Conflict,Crush Injuries
2024-GAZ-00141,Deir al-Balah,Airstrike,54,1,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00140,Gaza city,Artillery Shelling,44,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Gaza city,Rocket Attack,92,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Gaza city,Airstrike,219,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014,Gaza city,Airstrike,1146,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Gaza city,Building Collapse,1546,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001427,Gaza city,Airstrike,168,27,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001428,Deir al-Balah,Airstrike,1151,28,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001446,Beit Hanoun,Drone Strike,1792,46,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001411,Beit Hanoun,Missile Strike,693,11,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00142,Beit Hanoun,Airstrike,187,2,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00144,Beit Hanoun,Airstrike,120,4,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001417,Beit Hanoun,Building Collapse,1155,17,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00142,Khan Younis,Missile Strike,244,2,Direct Conflict,Crush Injuries
2024-GAZ-00141,Khan Younis,Artillery Shelling,134,1,Direct Conflict,Crush Injuries
2024-GAZ-00141,Khan Younis,Rocket Attack,171,1,Direct Conflict,Crush Injuries
2024-GAZ-00141,Khan Younis,Airstrike,282,1,Direct Conflict,Crush Injuries
2024-GAZ-001410,Khan Younis,Airstrike,586,1,Direct Conflict,Crush Injuries
2024-GAZ-00146,Khan Younis,Building Collapse,443,6,Direct Conflict,Crush Injuries
2024-GAZ-00143,Khan Younis,Airstrike,106,3,Direct Conflict,Crush Injuries
2024-GAZ-00140,Khan Younis,Rocket Attack,5,,Direct Conflict,Crush Injuries
2024-GAZ-00142,Beit Lahia,Rocket Attack,23,2,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001419,Beit Lahia,Airstrike,219,19,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001495,Beit Lahia,Airstrike,2220,95,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014201,Beit Lahia,Airstrike,2665,21,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00143,Beit Lahia,Airstrike,46,3,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Beit Lahia,Missile Strike,1,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Lahia,Artillery Shelling,14,,Lack of medical Access,Sepsis
2024-GAZ-00141,Beit Lahia,Rocket Attack,187,1,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Lahia,Airstrike,2,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Lahia,Airstrike,1,,Lack of medical Access,Sepsis
2024-GAZ-00140,Beit Lahia,Building Collapse,1,,Lack of medical Access,Sepsis
2024-GAZ-00142,Jabalia,Drone Strike,883,2,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001464,Jabalia,Missile Strike,8739,64,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141,Jabalia,Artillery Shelling,480,1,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001419,Jabalia,Rocket Attack,1869,19,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00147,Jabalia,Airstrike,647,7,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00145,Jabalia,Airstrike,1279,5,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014117,Jabalia,Building Collapse,7430,117,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001411,Jabalia,Drone Strike,782,11,Lack of medical Access,Asphyxiation
2024-GAZ-001412,Jabalia,Missile Strike,103,12,Lack of medical Access,Asphyxiation
2024-GAZ-0014,Jabalia,Artillery Shelling,400,,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Jabalia,Rocket Attack,33,,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Jabalia,Airstrike,174,,Lack of medical Access,Asphyxiation
2024-GAZ-0014,Jabalia,Airstrike,16,,Lack of medical Access,Asphyxiation
2024-GAZ-001476,Jabalia,Airstrike,911,76,Lack of medical Access,Asphyxiation
2024-GAZ-001417,Jabalia,Rocket Attack,263,17,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Jabalia,Missile Strike,1,,Lack of medical Access,Asphyxiation
2024-GAZ-00143,Jabalia,Missile Strike,7,3,Lack of medical Access,Asphyxiation
2024-GAZ-001412,Jabalia,Rocket Attack,42,12,Lack of medical Access,Asphyxiation
2024-GAZ-00149,Jabalia,Building Collapse,22,9,Lack of medical Access,Asphyxiation
2024-GAZ-00144685,Jabalia,Artillery Shelling,6753,4685,Lack of medical Access,Asphyxiation
2024-GAZ-001413,Jabalia,Artillery Shelling,485,13,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Jabalia,Rocket Attack,3,,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Beit Lahia,Drone Strike,169,,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Beit Lahia,Missile Strike,80,,Lack of medical Access,Asphyxiation
2024-GAZ-00142,Beit Lahia,Artillery Shelling,933,2,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Beit Lahia,Airstrike,34,,Lack of medical Access,Asphyxiation
2024-GAZ-0014,Beit Lahia,Airstrike,12,,Lack of medical Access,Asphyxiation
2024-GAZ-00149,Beit Lahia,Building Collapse,1790,9,Lack of medical Access,Asphyxiation
2024-GAZ-00141,Beit Lahia,Airstrike,391,1,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Beit Lahia,Rocket Attack,2,,Lack of medical Access,Asphyxiation
2024-GAZ-0014384,Gaza city,Missile Strike,2706,384,Lack of medical Access,Asphyxiation
2024-GAZ-00140,Gaza city,Drone Strike,1,,Direct Conflict,Burns
2024-GAZ-00146,Rafah,Drone Strike,38,6,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00144,Deir al-Balah,Missile Strike,51,4,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001480,Deir al-Balah,Artillery Shelling,2059,8,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001413,Deir al-Balah,Rocket Attack,585,13,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014110,Deir al-Balah,Airstrike,5284,11,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001460,Deir al-Balah,Airstrike,2324,6,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001466,Deir al-Balah,Building Collapse,1154,66,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00148,Deir al-Balah,Airstrike,16,8,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001432,Deir al-Balah,Drone Strike,768,32,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014186,Deir al-Balah,Missile Strike,5290,186,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014755,Deir al-Balah,Artillery Shelling,35996,755,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014229,Deir al-Balah,Rocket Attack,6600,229,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-001418,Deir al-Balah,Airstrike,597,18,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-0014742,Deir al-Balah,Airstrike,23377,742,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00141712,Deir al-Balah,Building Collapse,44456,1712,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00144,Deir al-Balah,Airstrike,15,4,Lack of medical Access,Hemorrhagic Shock
2024-GAZ-00140,Rafah,Missile Strike,1,,Direct Conflict,Burns
2024-GAZ-00140,Rafah,Missile Strike,1,,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00146,Rafah,Artillery Shelling,1218,6,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001423,Rafah,Rocket Attack,1069,23,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00148,Rafah,Airstrike,144,8,Direct Conflict,Traumatic Brain Injury
2024-GAZ-0014219,Rafah,Airstrike,527,219,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00140,Rafah,Building Collapse,164,,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00140,Rafah,Airstrike,2,,Direct Conflict,Traumatic Brain Injury
2024-GAZ-001486,Rafah,Missile Strike,366,86,Direct Conflict,Traumatic Brain Injury
2024-GAZ-00142,Rafah,Airstrike,1535,2,Direct Conflict,Crush Injuries
2024-GAZ-001495,Rafah,Building Collapse,8997,95,Direct Conflict,Crush Injuries
2024-GAZ-00140,Rafah,Drone Strike,124,,Direct Conflict,Crush Injuries
2024-GAZ-00148,Rafah,Artillery Shelling,4547,8,Direct Conflict,Crush Injuries
2024-GAZ-00140,Rafah,Rocket Attack,6,,Direct Conflict,Crush Injuries
2024-GAZ-001414,Rafah,Airstrike,1864,14,Direct Conflict,Crush Injuries
2024-GAZ-00143,Rafah,Airstrike,120,3,Direct Conflict,Crush Injuries
2024-GAZ-00142,Rafah,Building Collapse,33,2,Direct Conflict,Crush Injuries
2024-GAZ-001438,Rafah,Airstrike,1095,38,Direct Conflict,Crush Injuries
2024-GAZ-0014273,Rafah,Rocket Attack,5261,273,Direct Conflict,Crush Injuries
